current,averageCurrent,peakCurrent,minCurrent,fluctuationRate,risk
3.02,3.07,4.1,2.1,6.54,0
8.67,8.42,10.27,6.31,1.32,0
7.03,7.06,9.69,4.45,9.58,1
12.36,12.18,16.79,7.39,9.77,1
8.97,8.77,12.19,5.16,0.52,0
4.63,4.66,6.1,3.25,5.19,0
11.09,10.46,12.08,8.2,6.92,0
11.28,10.52,13.23,7.05,2.06,0
4.41,4.38,5.78,2.95,5.95,0
6.19,5.83,7.69,3.6,2.12,0
10.91,10.42,14.16,6.2,4.83,0
11.48,10.23,12.36,6.85,7.12,1
5.59,5.38,6.98,3.57,4.74,0
5.43,5.53,7.14,4.03,0.02,0
7.35,6.84,7.93,5.23,9.52,1
9.21,9.54,13.31,6.08,2.05,0
7.66,7.27,8.93,5.24,3.53,0
7.78,7.92,10.22,5.76,8.58,1
7.19,6.91,8.55,5.0,4.51,0
9.87,10.31,13.92,7.12,7.29,1
5.71,5.72,7.87,3.58,7.05,1
6.13,5.93,7.56,4.1,2.19,0
4.43,4.32,5.87,2.68,9.61,1
9.69,9.79,12.54,7.15,8.23,1
5.15,4.95,6.36,3.35,0.31,0
10.75,10.2,13.44,6.4,1.86,0
3.61,3.67,4.96,2.45,4.58,0
11.92,11.56,13.89,8.88,6.8,0
12.9,13.17,17.67,8.93,1.52,0
7.96,7.94,11.14,4.73,4.72,0
4.02,3.86,4.6,2.98,1.37,0
2.87,2.72,3.17,2.11,2.42,0
5.48,5.75,7.83,3.94,3.37,0
9.16,9.67,13.07,6.77,2.22,0
6.06,5.74,6.82,4.32,3.12,0
9.87,9.53,12.99,5.72,1.01,0
8.08,7.54,8.62,5.92,5.63,0
8.19,7.93,10.85,4.75,1.02,0
4.82,4.83,6.53,3.13,1.06,0
8.6,8.38,11.47,5.08,5.23,0
8.22,8.15,10.8,5.44,6.24,0
8.04,7.4,8.87,5.29,4.66,0
19.56,19.29,24.24,14.08,0.45,0
9.95,9.95,13.54,6.35,7.54,1
7.78,7.28,8.86,5.2,7.72,1
10.06,10.25,14.31,6.39,9.69,1
10.47,9.31,11.18,6.28,4.37,0
5.52,4.96,6.08,3.29,5.05,0
7.68,7.43,9.06,5.54,7.01,1
8.06,8.14,10.81,5.54,7.14,1
9.2,9.01,12.36,5.49,5.79,0
6.59,6.18,7.31,4.63,3.32,0
8.22,8.49,11.43,5.83,0.69,0
7.34,6.67,7.92,4.74,8.4,1
3.76,3.47,3.99,2.67,5.0,0
6.37,6.36,8.79,3.94,8.89,1
5.82,5.99,8.34,3.81,6.62,0
6.49,6.37,8.21,4.39,3.72,0
9.62,8.91,10.49,6.62,4.59,0
5.35,5.14,6.51,3.56,3.22,0
3.85,3.75,4.52,2.89,0.81,0
4.17,3.71,4.58,2.38,6.24,0
8.87,8.37,10.83,5.4,8.29,1
5.28,4.98,5.77,3.88,9.21,1
3.44,3.36,4.38,2.26,2.07,0
3.79,3.91,5.25,2.68,6.74,0
10.44,10.77,14.44,7.45,5.3,0
10.3,10.12,13.69,6.37,6.66,0
10.24,10.21,13.03,7.35,5.91,0
12.35,11.0,13.8,6.85,6.73,0
7.94,8.42,11.42,5.9,7.05,1
11.6,10.7,12.78,7.7,9.53,1
6.46,6.4,8.87,3.88,9.47,1
5.22,4.61,5.55,3.06,8.11,1
5.68,5.16,6.53,3.28,3.1,0
12.65,12.74,17.04,8.52,4.48,0
5.62,5.23,5.92,4.16,5.88,0
14.43,13.29,16.95,8.5,9.5,1
6.2,6.13,8.67,3.52,0.52,0
6.01,6.12,8.6,3.74,6.3,0
11.15,10.58,14.45,6.14,6.71,0
12.51,11.38,13.48,8.15,0.67,0
5.88,5.7,7.39,3.82,9.41,1
14.46,13.16,15.39,9.62,2.5,0
8.71,7.81,9.38,5.35,6.77,0
5.73,5.35,6.74,3.57,7.78,1
5.57,5.0,6.35,3.07,3.48,0
6.58,6.18,7.22,4.72,1.92,0
6.23,5.69,7.16,3.67,3.25,0
8.68,7.92,9.14,5.93,5.01,0
7.53,7.18,9.56,4.45,6.85,0
12.57,12.23,16.2,7.91,7.04,1
6.41,6.25,8.13,4.2,2.03,0
11.54,10.76,12.31,8.43,6.85,0
5.41,5.0,5.94,3.64,6.17,0
6.28,6.12,8.12,3.97,9.02,1
3.46,3.33,4.57,1.97,0.12,0
8.52,7.91,10.42,4.79,6.34,0
11.18,11.07,14.82,7.22,6.04,0
8.14,8.13,10.23,6.03,4.18,0
10.6,10.74,14.77,6.85,9.46,1
10.17,9.75,13.19,5.9,3.7,0
4.62,4.67,6.41,2.97,4.29,0
12.93,11.67,13.71,8.37,9.15,1
14.94,15.24,21.2,9.58,5.64,0
9.68,9.22,11.19,6.78,0.22,0
2.12,2.06,2.85,1.19,2.95,0
11.92,11.94,16.65,7.24,2.97,0
9.51,8.8,10.45,6.45,8.83,1
8.25,7.34,8.77,5.02,2.51,0
9.04,8.83,12.39,5.05,0.77,0
11.16,10.89,15.18,6.34,0.39,0
11.36,10.94,14.35,7.12,0.09,0
9.71,9.25,12.53,5.51,2.48,0
3.73,3.32,3.95,2.28,0.91,0
9.41,9.46,12.55,6.42,6.31,0
5.81,5.22,6.25,3.6,0.36,0
8.15,7.55,9.14,5.37,7.43,1
15.34,14.6,19.3,9.17,5.41,0
9.64,9.2,10.89,7.08,7.81,1
8.65,8.43,11.1,5.54,1.75,0
12.61,11.7,15.01,7.48,7.73,1
6.13,6.07,8.23,3.84,8.48,1
10.27,10.5,13.53,7.69,6.72,0
10.88,10.32,12.15,7.92,7.97,1
6.27,6.29,8.01,4.6,5.84,0
6.97,7.02,10.01,4.08,4.33,0
4.4,4.5,5.99,3.12,8.93,1
7.19,6.72,8.68,4.28,2.97,0
6.59,6.39,7.82,4.77,9.66,1
8.63,7.97,10.51,4.77,6.08,0
10.13,9.52,10.87,7.56,4.84,0
5.51,5.5,7.28,3.72,7.38,1
13.3,12.63,15.25,9.34,4.98,0
6.43,6.7,8.85,4.81,1.4,0
10.25,10.08,13.02,6.95,6.66,0
6.84,6.71,9.38,3.89,2.26,0
3.18,3.22,4.12,2.37,0.76,0
6.61,5.82,7.11,3.73,9.51,1
8.09,8.22,11.63,4.96,6.25,0
2.72,2.71,3.6,1.81,0.77,0
5.24,4.83,6.21,3.05,6.31,0
9.33,8.75,10.13,6.8,5.07,0
6.76,6.57,8.45,4.49,2.5,0
4.8,4.35,5.3,2.96,2.78,0
5.97,5.92,8.15,3.65,2.68,0
7.45,7.46,10.79,4.16,5.18,0
8.34,8.01,9.89,5.79,3.04,0
7.13,6.52,8.42,4.01,9.67,1
11.17,10.66,13.64,7.17,2.87,0
8.23,7.25,8.84,4.68,2.71,0
8.97,8.46,10.2,6.2,1.12,0
7.07,6.53,7.71,4.8,5.84,0
7.0,6.16,7.46,4.02,4.19,0
4.16,3.84,5.03,2.35,6.95,0
4.89,4.72,5.86,3.4,6.8,0
6.6,6.34,7.77,4.66,7.03,1
12.49,11.63,13.87,8.52,9.6,1
4.89,4.61,6.08,2.86,7.33,1
10.81,10.39,14.12,6.26,3.73,0
8.56,7.62,9.24,5.07,5.8,0
10.7,10.68,15.41,5.92,3.71,0
9.02,8.1,10.31,4.98,4.39,0
3.69,3.7,4.92,2.48,0.38,0
13.63,13.91,18.65,9.44,0.58,0
7.3,6.97,8.85,4.77,2.28,0
3.71,3.37,4.19,2.19,8.76,1
13.0,13.21,17.48,9.14,3.25,0
5.31,5.11,6.83,3.19,8.07,1
5.11,4.49,5.42,2.93,6.57,0
9.39,9.0,11.89,5.73,4.17,0
6.45,5.83,7.35,3.7,5.18,0
11.71,11.95,16.76,7.38,6.42,0
11.1,11.35,14.77,8.18,8.55,1
8.81,8.37,9.89,6.4,5.21,0
10.49,10.91,15.19,7.06,1.65,0
12.6,11.96,15.51,7.77,8.63,1
6.06,5.41,6.84,3.34,1.99,0
6.05,6.08,8.28,3.91,2.82,0
12.07,11.92,15.15,8.56,4.64,0
5.72,5.54,6.63,4.27,3.07,0
7.57,7.12,9.42,4.37,8.04,1
6.92,7.05,9.98,4.24,8.04,1
10.92,11.22,14.68,8.07,0.95,0
8.02,7.57,9.87,4.82,1.99,0
3.29,3.13,3.84,2.26,3.27,0
6.68,6.13,7.46,4.24,5.39,0
6.05,5.98,8.08,3.81,9.33,1
7.29,7.06,9.48,4.41,3.57,0
4.31,4.21,5.4,2.92,2.42,0
4.36,4.25,5.84,2.55,4.62,0
13.03,13.16,18.34,8.11,3.93,0
5.48,5.44,7.04,3.79,6.74,0
3.12,2.85,3.56,1.89,4.43,0
7.83,7.37,9.03,5.23,2.02,0
6.57,6.6,8.81,4.42,7.32,1
4.68,4.93,6.68,3.42,5.31,0
10.64,10.93,15.0,7.14,0.14,0
5.51,5.31,7.24,3.16,7.54,1
10.37,10.63,14.42,7.1,8.11,1
4.99,4.73,5.76,3.44,8.17,1
12.04,10.94,14.1,6.7,1.15,0
4.13,3.86,4.68,2.77,4.74,0
9.92,10.01,13.74,6.38,8.25,1
13.49,13.02,16.91,8.66,4.33,0
10.44,9.55,11.72,6.5,8.07,1
8.14,7.85,9.42,6.0,8.67,1
5.04,5.17,6.94,3.53,7.37,1
4.04,3.81,5.11,2.27,4.33,0
9.29,8.92,12.07,5.4,2.32,0
8.07,7.91,10.47,5.17,2.9,0
0.1,0.1,0.14,0.06,8.36,1
8.55,8.63,12.34,4.99,2.75,0
3.18,3.21,4.37,2.06,6.38,0
4.26,4.22,5.64,2.75,6.55,0
11.83,11.16,12.87,8.79,9.71,1
9.24,9.11,12.35,5.76,7.27,1
5.23,4.93,6.02,3.55,0.88,0
2.86,3.04,4.13,2.14,0.57,0
11.81,11.02,13.43,7.82,0.69,0
9.24,8.84,12.16,5.11,2.45,0
6.32,6.14,7.89,4.2,3.93,0
5.84,5.14,6.17,3.4,1.99,0
0.1,0.09,0.12,0.06,3.32,0
4.49,4.57,6.3,2.91,7.81,1
6.23,5.98,8.16,3.56,1.67,0
5.42,5.5,7.08,3.99,2.43,0
10.57,9.88,11.79,7.28,4.38,0
7.98,7.48,9.15,5.31,2.48,0
9.03,8.54,10.87,5.71,3.68,0
3.78,3.75,5.28,2.2,0.25,0
8.97,8.51,10.66,5.91,5.14,0
10.12,9.35,10.92,7.02,2.49,0
8.04,7.88,10.01,5.59,5.21,0
10.47,11.04,14.87,7.78,0.17,0
4.04,3.75,4.75,2.46,2.86,0
5.06,4.7,5.41,3.63,0.0,0
8.55,8.31,10.79,5.58,1.79,0
3.35,3.37,4.68,2.09,7.08,1
9.88,9.54,11.45,7.28,4.77,0
15.72,15.03,20.54,8.82,8.55,1
10.91,10.07,12.02,7.28,0.24,0
9.02,8.3,9.56,6.32,9.08,1
7.52,7.3,9.07,5.32,2.35,0
7.62,7.67,9.85,5.54,5.89,0
5.68,5.55,7.7,3.28,5.77,0
8.33,8.19,11.41,4.84,0.52,0
8.7,8.19,10.84,5.03,7.34,1
5.28,5.05,6.03,3.83,9.57,1
3.77,3.63,4.91,2.21,7.42,1
8.2,8.12,11.36,4.79,3.47,0
7.34,7.13,8.66,5.4,5.03,0
17.24,17.32,22.1,12.63,7.23,1
3.87,3.6,4.39,2.54,1.19,0
7.26,7.18,10.15,4.13,7.23,1
7.8,7.64,9.29,5.83,4.44,0
13.66,13.38,18.07,8.4,9.43,1
6.62,6.73,9.56,3.99,8.9,1
7.04,6.23,7.76,3.9,7.01,1
2.92,2.79,3.53,1.91,3.92,0
10.06,10.15,13.77,6.62,6.57,0
4.11,4.34,5.85,3.05,5.61,0
6.43,6.1,7.14,4.74,7.23,1
7.89,7.14,8.47,5.04,5.21,0
4.96,4.9,6.97,2.79,0.48,0
7.66,7.28,8.74,5.43,3.99,0
7.53,7.13,9.71,4.15,2.04,0
7.25,6.96,8.61,5.01,4.34,0
2.39,2.29,2.77,1.72,9.41,1
8.51,7.86,9.92,5.15,3.16,0
8.03,8.21,11.44,5.17,7.66,1
10.07,9.18,11.26,6.2,5.53,0
8.45,8.16,10.5,5.51,7.16,1
11.24,9.97,11.9,6.77,3.6,0
4.79,4.73,5.84,3.56,2.47,0
9.57,9.76,13.03,6.68,0.44,0
5.53,5.05,6.21,3.4,9.47,1
5.75,5.33,7.06,3.17,4.04,0
13.69,13.77,19.15,8.47,5.94,0
6.89,6.47,8.42,4.11,9.97,1
8.92,8.99,12.08,5.97,3.14,0
8.32,7.71,9.22,5.6,5.42,0
11.43,11.72,15.66,8.08,7.48,1
5.42,5.44,7.47,3.44,0.56,0
5.52,5.52,7.42,3.62,8.57,1
14.28,14.26,18.3,10.21,6.97,0
5.65,5.18,6.3,3.59,1.34,0
7.31,6.84,7.91,5.29,8.43,1
10.62,10.33,13.97,6.39,5.72,0
4.25,3.92,4.56,2.95,7.52,1
12.07,11.16,14.35,7.06,6.08,0
10.48,9.57,12.08,6.14,2.65,0
4.27,4.0,4.88,2.87,2.34,0
12.59,12.16,15.47,8.43,8.96,1
8.78,8.77,11.44,6.11,8.07,1
4.76,4.31,5.27,2.91,5.48,0
10.26,10.37,13.47,7.39,1.47,0
6.8,6.56,8.55,4.34,3.97,0
6.48,6.17,7.27,4.77,1.63,0
14.81,14.97,19.41,10.69,6.74,0
7.26,7.28,9.87,4.7,8.07,1
7.9,7.24,9.13,4.68,6.22,0
10.48,10.06,12.36,7.34,9.6,1
3.75,3.53,4.5,2.33,2.47,0
6.37,6.37,9.08,3.68,3.7,0
1.8,1.8,2.3,1.31,7.07,1
11.25,11.69,15.83,7.99,4.81,0
8.26,8.13,10.68,5.46,8.14,1
8.62,8.31,10.37,5.93,0.14,0
6.41,5.68,6.97,3.67,6.46,0
9.82,9.71,11.98,7.34,1.95,0
3.49,3.44,4.89,1.94,0.1,0
8.17,7.66,9.88,4.94,7.29,1
9.11,8.35,9.66,6.28,6.64,0
6.52,5.76,7.0,3.74,3.03,0
5.03,4.77,6.52,2.77,9.17,1
10.61,10.62,14.08,7.16,3.08,0
9.42,9.33,12.5,6.06,5.65,0
7.61,7.3,9.12,5.16,5.09,0
11.27,10.08,12.45,6.5,0.74,0
13.65,12.56,14.53,9.5,5.33,0
7.88,7.83,10.31,5.32,8.37,1
7.44,6.68,8.5,4.11,4.04,0
2.83,2.67,3.33,1.87,7.82,1
9.84,9.97,12.71,7.37,1.89,0
10.22,9.93,12.18,7.39,7.39,1
10.95,10.48,12.92,7.56,6.36,0
8.84,8.56,11.19,5.65,4.16,0
11.16,10.34,12.75,7.11,6.62,0
11.83,12.01,17.04,7.17,7.09,1
5.74,6.07,8.25,4.22,6.22,0
10.1,9.79,13.09,6.2,5.57,0
3.99,3.76,4.35,2.95,0.4,0
12.69,13.48,18.25,9.51,9.76,1
5.45,5.22,7.18,3.04,1.18,0
13.26,12.46,14.48,9.65,3.51,0
7.73,7.78,10.4,5.2,6.1,0
3.78,3.54,4.44,2.4,5.59,0
6.65,6.24,8.28,3.79,7.51,1
9.44,8.81,10.4,6.59,5.0,0
3.33,3.28,4.2,2.3,1.7,0
11.27,9.99,12.39,6.32,9.18,1
9.54,9.64,13.37,6.02,9.74,1
11.11,10.64,14.17,6.65,0.84,0
2.59,2.57,3.63,1.49,4.28,0
6.97,6.91,9.34,4.42,7.47,1
7.3,6.56,8.01,4.38,1.67,0
5.67,5.54,7.05,3.91,3.83,0
16.16,15.21,19.85,9.61,1.62,0
3.96,3.88,5.0,2.69,2.15,0
4.61,4.36,5.67,2.79,4.1,0
9.78,9.33,11.45,6.75,7.67,1
8.37,7.99,10.52,5.08,6.67,0
6.22,6.1,7.56,4.52,2.0,0
7.65,7.03,8.94,4.49,6.45,0
7.89,7.73,10.71,4.58,6.32,0
7.54,7.17,9.29,4.67,2.24,0
13.56,13.13,17.64,8.19,6.57,0
10.44,10.01,12.89,6.7,6.02,0
6.38,6.55,9.15,4.12,6.96,0
9.13,8.59,11.55,5.1,3.54,0
8.75,8.55,11.85,5.04,4.46,0
3.45,3.28,4.34,2.04,0.93,0
7.26,7.26,10.46,4.06,0.73,0
13.06,13.08,17.1,9.08,7.39,1
4.83,4.93,6.97,2.99,8.8,1
9.47,8.36,10.17,5.43,6.57,0
8.73,8.88,12.57,5.35,3.81,0
7.78,7.22,8.89,4.97,9.63,1
10.61,10.54,14.35,6.68,5.19,0
15.9,15.71,20.74,10.49,2.6,0
8.7,8.05,10.32,5.13,8.44,1
1.89,1.83,2.53,1.08,3.54,0
11.04,10.8,13.7,7.66,2.7,0
9.54,9.15,11.42,6.49,9.2,1
11.43,11.55,15.65,7.57,5.78,0
6.54,6.82,9.45,4.49,5.15,0
8.08,7.9,11.02,4.59,5.95,0
7.56,7.27,9.85,4.4,9.79,1
10.5,9.7,11.37,7.21,7.84,1
8.55,8.0,10.6,4.84,8.33,1
8.63,8.05,10.33,5.17,5.97,0
8.59,8.8,12.2,5.61,3.88,0
6.91,6.43,7.31,5.07,2.71,0
11.38,11.07,15.11,6.73,7.92,1
7.33,6.56,8.18,4.17,6.67,0
0.59,0.58,0.79,0.36,1.59,0
10.57,9.78,12.25,6.52,3.57,0
11.09,10.5,13.5,6.91,0.15,0
8.77,9.03,12.2,6.11,9.91,1
4.34,4.13,5.28,2.78,6.78,0
5.9,5.45,6.76,3.7,4.5,0
7.85,7.66,9.89,5.23,0.68,0
9.99,9.75,13.74,5.53,3.04,0
4.16,3.75,4.58,2.51,8.9,1
7.1,6.74,8.11,5.02,3.95,0
13.09,12.43,14.76,9.44,7.59,1
1.37,1.31,1.63,0.94,8.59,1
13.89,13.24,16.75,9.08,5.83,0
9.54,9.69,12.71,6.8,9.8,1
8.2,8.46,11.48,5.68,2.09,0
8.21,7.97,10.96,4.75,9.73,1
5.86,5.48,7.09,3.5,3.89,0
3.56,3.23,3.8,2.31,7.13,1
9.71,10.17,13.96,6.85,7.61,1
9.9,9.95,13.88,6.06,1.6,0
7.07,6.82,8.75,4.65,0.19,0
10.78,10.76,14.78,6.71,9.51,1
3.86,3.46,4.13,2.41,2.67,0
8.3,7.57,9.24,5.16,4.7,0
1.78,1.74,2.26,1.19,8.04,1
8.89,8.17,9.72,5.9,1.66,0
7.24,6.86,8.66,4.69,9.68,1
7.34,7.37,9.75,5.03,0.18,0
8.17,7.98,10.38,5.4,6.92,0
10.15,9.95,13.3,6.39,0.92,0
9.63,9.7,12.9,6.57,7.61,1
7.59,7.77,10.48,5.24,3.88,0
8.06,7.26,8.73,5.0,1.03,0
6.31,6.16,8.21,3.96,6.44,0
5.19,4.53,5.51,2.88,2.89,0
10.87,10.72,13.3,7.99,9.45,1
10.36,10.14,13.81,6.26,9.95,1
8.52,7.58,9.21,5.02,7.85,1
4.96,5.03,7.04,3.1,4.19,0
5.3,4.96,6.53,3.05,0.68,0
6.04,6.15,8.23,4.18,3.01,0
6.7,6.12,7.4,4.25,5.36,0
5.68,5.64,8.07,3.17,3.91,0
3.56,3.27,3.84,2.41,8.59,1
9.83,10.18,13.33,7.37,1.3,0
9.84,8.72,10.68,5.66,8.35,1
6.56,6.67,9.49,3.97,4.93,0
12.44,12.81,17.67,8.31,2.14,0
10.09,9.43,12.22,5.97,4.85,0
6.54,6.19,7.21,4.82,7.88,1
13.31,11.89,14.43,7.92,9.96,1
8.29,8.56,11.98,5.4,3.69,0
4.33,4.37,5.9,2.86,7.09,1
15.39,14.73,18.3,10.51,2.25,0
8.18,8.45,11.28,5.89,8.83,1
13.01,13.09,17.91,8.34,6.89,0
8.51,7.5,8.98,5.01,9.08,1
7.78,7.34,9.71,4.55,5.44,0
9.55,9.35,12.51,6.0,3.98,0
7.17,7.01,8.62,5.23,0.08,0
12.06,12.43,17.32,7.92,3.74,0
10.55,9.71,11.75,6.85,7.13,1
6.36,6.42,8.62,4.29,2.03,0
5.27,5.38,7.36,3.5,6.36,0
6.2,6.38,8.67,4.28,6.32,0
7.9,7.34,8.42,5.7,9.01,1
9.42,9.92,13.42,6.91,2.42,0
9.59,9.28,12.32,5.94,6.55,0
8.76,8.13,10.57,5.07,2.89,0
9.94,9.98,13.89,6.12,2.69,0
5.67,5.31,7.1,3.17,3.21,0
3.4,3.43,4.89,2.01,1.79,0
7.79,7.39,9.1,5.28,3.13,0
11.41,10.74,12.82,7.98,3.72,0
6.34,5.84,7.66,3.52,4.08,0
4.37,4.09,5.0,2.91,0.22,0
2.14,2.11,2.95,1.22,9.67,1
12.43,12.7,17.11,8.57,7.73,1
8.74,8.52,10.32,6.51,6.94,0
6.42,5.75,7.03,3.78,2.88,0
8.14,7.63,9.44,5.32,5.03,0
8.29,7.96,10.14,5.46,1.57,0
5.62,5.64,7.25,4.03,2.82,0
10.44,10.03,13.5,6.16,0.1,0
10.13,9.68,11.46,7.44,0.68,0
3.02,3.15,4.25,2.18,2.92,0
6.37,6.29,7.97,4.52,8.77,1
8.46,8.47,11.05,5.91,8.48,1
12.51,11.11,13.67,7.15,5.99,0
2.48,2.3,2.97,1.46,1.91,0
4.45,4.19,5.06,3.06,0.76,0
2.99,2.69,3.19,1.89,7.87,1
12.1,11.61,15.03,7.69,7.48,1
7.67,7.27,8.78,5.36,1.79,0
6.84,7.0,9.79,4.36,5.16,0
5.42,5.47,7.71,3.29,2.48,0
11.01,10.0,12.34,6.64,5.19,0
8.64,8.61,12.36,4.82,9.26,1
6.54,6.04,7.58,4.01,5.44,0
6.27,6.23,7.75,4.66,1.02,0
10.18,10.32,13.76,7.02,1.72,0
5.92,5.53,6.74,3.95,1.82,0
10.35,9.66,11.94,6.69,4.6,0
6.04,5.37,6.6,3.48,4.76,0
9.08,9.21,12.37,6.17,7.74,1
5.37,4.92,6.25,3.15,6.73,0
5.43,5.61,7.87,3.54,7.18,1
11.48,10.53,13.15,6.95,7.73,1
7.18,7.13,9.86,4.35,5.36,0
5.82,5.7,6.92,4.36,7.48,1
9.07,8.94,12.69,5.05,8.17,1
5.33,5.49,7.2,3.94,9.81,1
5.85,5.44,6.62,3.85,2.21,0
8.18,8.5,11.29,6.04,3.66,0
8.94,8.94,11.59,6.28,3.6,0
7.83,7.37,9.5,4.77,9.65,1
8.73,8.56,11.05,5.89,2.98,0
10.79,10.79,15.13,6.45,3.79,0
1.09,1.12,1.53,0.75,4.34,0
6.67,6.35,7.54,4.85,2.42,0
8.56,8.76,11.68,6.03,8.15,1
7.07,6.61,8.63,4.14,1.03,0
9.48,9.31,12.45,6.0,0.34,0
4.77,4.51,5.83,2.94,5.06,0
6.99,6.41,7.67,4.58,6.28,0
7.52,6.82,8.14,4.79,0.58,0
9.21,8.5,10.48,5.8,9.58,1
9.86,9.27,11.09,6.85,9.98,1
5.08,4.79,5.94,3.36,9.51,1
12.32,11.08,13.77,7.16,2.6,0
7.71,7.54,10.37,4.54,8.98,1
3.78,3.6,4.63,2.38,1.88,0
8.06,8.53,11.6,5.92,1.88,0
9.76,9.63,12.97,6.15,2.6,0
10.32,9.67,12.29,6.39,4.09,0
7.93,7.79,11.06,4.39,0.76,0
10.28,10.67,14.26,7.47,9.51,1
7.28,7.12,9.71,4.37,3.71,0
